tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.4044	Basalt	Hawaiian Islands	201.8254	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA009							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.4044	Basalt	Hawaiian Islands	201.82539	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA010							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.46228	Basalt	Hawaiian Islands	201.8454	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.51972	Basalt	Hawaiian Islands	201.77228	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA012							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.51972	Basalt	Hawaiian Islands	201.77228	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA013							
3.49			0.085	Ma		This study								Intrusive	Volcanic Dike		1.3e-05	1.56e-05	1.03e-05				1	21.51972	Basalt	Hawaiian Islands	201.77228	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA014	BiCEP_GUI	OA014A09:OA014A10:OA014A11:OA014A01:OA014A02:OA014A04:OA014A07:OA014A08:OA014A12:OA014A13					
3.1			0.015	Ma		This study								Extrusive	Lava Flow		3.97e-05	4.45e-05	3.53e-05				8	21.46033	Basalt	Hawaiian Islands	201.78846	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA015	BiCEP_GUI	OA015A01:OA015A02:OA015A03:OA015A04:OA015A05:OA015A06:OA015A07:OA015A08					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.46046	Basalt	Hawaiian Islands	201.78826	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA016							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									21.31104	Scoria	Hawaiian Islands	202.17637	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA017							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.31354	Basalt	Hawaiian Islands	202.33949	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018							
2.84			0.03	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Lava Flow		2.29e-05	2.53e-05	2.05e-05	1.54e-06	6.71		15	21.30938	Basalt	Hawaiian Islands	202.34217	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA019	BiCEP_GUI	OA019A02:OA019A03:OA019B01:OA019B02:OA019B03:OA019C01:OA019C02:OA019C03:OA019C04:OA019C05:OA019D01:OA019D02:OA019D03:OA019D04:OA019D05					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30933	Basalt	Hawaiian Islands	202.34388	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA020							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30941	Basalt	Hawaiian Islands	202.34372	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA021							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29758	Basalt	Hawaiian Islands	202.34577	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA022							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29779	Basalt	Hawaiian Islands	202.3459	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA023							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29801	Basalt	Hawaiian Islands	202.34576	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA024							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29839	Basalt	Hawaiian Islands	202.34619	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA025							
2.76			0.05	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Lava Flow		1.5e-05	1.74e-05	1.25e-05	3.9e-07	2.8		8	21.29836	Basalt	Hawaiian Islands	202.3462	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA026	BiCEP_GUI	OA026A01:OA026A02:OA026A03:OA026A04:OA026A05:OA026A06:OA026A07:OA026A08					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.2984	Basalt	Hawaiian Islands	202.34664	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA027							
2.72			0.04	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Lava Flow		3.31e-05	3.68e-05	2.94e-05	7.55e-07	2.45		8	21.29907	Basalt	Hawaiian Islands	202.34727	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA028	BiCEP_GUI	OA028A01:OA028A02:OA028A03:OA028A04:OA028A05:OA028A06:OA028A07:OA028A08					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29928	Basalt	Hawaiian Islands	202.3473	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA029							
