tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_b_beta	int_cdrat	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_dang	int_drat	int_drats	int_f	int_frac	int_fvds	int_g	int_gmax	int_k	int_k_max	int_k_min	int_k_prime	int_mad_coe	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU019A		MU019A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU019B		MU019B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU019B		MU019B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU020A		MU020A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU021A		MU021A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU021A		MU021A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU022A		MU022A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU022A		MU022A02
														This Study											3.19e-05	3.32e-05	3.07e-05							2.201634995208509	5.959517541757634							0.397	0.522	0.265		1.970958241447434	5.015958350734712						773.0	273.0	Kelvin	IE-BICEP		MU023A		MU023A01
														This Study											3.18e-05	3.29e-05	3.08e-05							2.701673468838018	3.7085645976170847							0.152	0.255	0.053		2.1469241902095524	4.215864269507434						773.0	273.0	Kelvin	IE-BICEP		MU023A		MU023A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU024A		MU024A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU024A		MU024A02
														This Study											4.75e-05	5.14e-05	4.43e-05							3.522170646942388	3.360435535776355							-0.179	-0.015	-0.344		4.075954100443502	4.690384736537598						863.0	623.0	Kelvin	IE-BICEP		MU025A		MU025A01
														This Study											4.17e-05	4.26e-05	4.08e-05							2.040703227028726	0.7390017870104257							-0.028	0.027	-0.085		1.450192049046931	1.7437912065703522						853.0	273.0	Kelvin	IE-BICEP		MU025A		MU025A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU026A		MU026A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU027A		MU027A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU027A		MU027A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU028A		MU028A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU028B		MU028B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU028B		MU028B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU029A		MU029A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU030A		MU030A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU030A		MU030A02
														This Study											3.810000000000001e-05	3.92e-05	3.71e-05							0.8399238224570874	3.486871699565102							0.114	0.193	0.034		3.3323986355681043	2.7677785169051354						863.0	473.0	Kelvin	IE-BICEP		MU031A		MU031A01
														This Study											3.43e-05	3.61e-05	3.26e-05							1.6016385342640982	2.1597954899474416							0.167	0.306	0.024		2.2466911318191856	3.2637065263813305						853.0	273.0	Kelvin	IE-BICEP		MU031B		MU031B01
